Carátula,Programa,Emisión,Tiempo,Tipo de música,Likes,Comentarios,Antigüedad,Reproducir
https://static-2.ivoox.com/audios/9/9/6/7/2041572977699_SM.jpg,Música para Gatos,"Música para Gatos – Ep. 28 - Cuerpo de Jazz (moderno), alma de Fusion.",01:00:00,Blues y Jazz,2,0,2 días,https://www.ivoox.com/musica-para-gatos-ep-28-cuerpo-audios-mp3_rf_43937114_1.html?autoplay=true
https://static-2.ivoox.com/audios/3/0/0/7/4941572437003_SM.jpg,Club de Jazz,Club de Jazz 30/10/2019 || En el filo,01:22:18,Blues y Jazz,5,1,8 días,https://www.ivoox.com/club-jazz-30-10-2019-en-filo-audios-mp3_rf_43741138_1.html?autoplay=true
https://static-2.ivoox.com/canales/5/2/4/4/5971470904425_SM.jpg,Cloud Jazz Smooth Jazz,Cloud Jazz Nº 1727 (U-Nam),56:19,Blues y Jazz,11,1,7 días,https://www.ivoox.com/cloud-jazz-n-1727-u-nam-audios-mp3_rf_43758689_1.html?autoplay=true
https://static-2.ivoox.com/canales/7/1/4/0/8021554710417_SM.jpg,Sofá sonoro,Sofá Sonoro: The Specials y el ska para luchar contra el fascismo (02/11/19),31:23,Blues y Jazz,6,0,5 días,https://www.ivoox.com/sofa-sonoro-the-specials-ska-para-audios-mp3_rf_43827223_1.html?autoplay=true
https://static-1.ivoox.com/canales/6/5/4/0/2571552460456_SM.jpg,Saltamontes,Saltamontes - JAZZ: Recordando a Roy Hargrove - 01/11/19,59:01,Blues y Jazz,4,0,6 días,https://www.ivoox.com/saltamontes-jazz-recordando-a-roy-hargrove-audios-mp3_rf_43812884_1.html?autoplay=true
https://static-2.ivoox.com/canales/5/2/4/4/5971470904425_SM.jpg,Cloud Jazz Smooth Jazz,Cloud Jazz Nº 1728 (Jackiem Joyner),57:29,Blues y Jazz,5,0,5 días,https://www.ivoox.com/cloud-jazz-n-1728-jackiem-joyner-audios-mp3_rf_43827616_1.html?autoplay=true
https://static-1.ivoox.com/audios/0/6/5/5/5371572885560_SM.jpg,El Faro del JAZZ,"El faro del jazz - 1x10 - Kurt Elling, la otra voz",03:26:23,Blues y Jazz,7,3,3 días,https://www.ivoox.com/faro-del-jazz-1x10-kurt-audios-mp3_rf_43874117_1.html?autoplay=true
https://static-1.ivoox.com/canales/6/5/4/0/2571552460456_SM.jpg,Saltamontes,"Saltamontes - MILES DAVIS: John Scofield, Mike Stern y Marcus Miller - 31/10/19",58:54,Blues y Jazz,2,0,7 días,https://www.ivoox.com/saltamontes-miles-davis-john-scofield-mike-stern-audios-mp3_rf_43783872_1.html?autoplay=true
https://static-2.ivoox.com/canales/5/2/4/4/5971470904425_SM.jpg,Cloud Jazz Smooth Jazz,Cloud Jazz Nº 1729 (Jeff Goldblum),57:31,Blues y Jazz,3,0,3 días,https://www.ivoox.com/cloud-jazz-n-1729-jeff-goldblum-audios-mp3_rf_43877689_1.html?autoplay=true
https://static-1.ivoox.com/canales/6/7/4/5/6291552535476_SM.jpg,Sólo jazz,"Solo jazz - Illinois Jacquet, invitación a la fiesta del jazz - 01/11/19",59:04,Blues y Jazz,2,0,6 días,https://www.ivoox.com/solo-jazz-illinois-jacquet-invitacion-a-la-audios-mp3_rf_43795770_1.html?autoplay=true
https://static-2.ivoox.com/canales/5/2/4/4/5971470904425_SM.jpg,Cloud Jazz Smooth Jazz,Cloud Jazz Nº 1730 (Smooth Jazz Alemania),57:12,Blues y Jazz,2,0,Ayer,https://www.ivoox.com/cloud-jazz-n-1730-smooth-jazz-alemania-audios-mp3_rf_43973764_1.html?autoplay=true
https://static-1.ivoox.com/canales/6/7/4/5/6291552535476_SM.jpg,Sólo jazz,"Solo jazz - Con Don Cherry, de nuevo, a vueltas - 06/11/19",59:58,Blues y Jazz,1,1,Ayer,https://www.ivoox.com/solo-jazz-con-don-cherry-nuevo-audios-mp3_rf_43979501_1.html?autoplay=true
https://static-1.ivoox.com/canales/6/5/4/0/2571552460456_SM.jpg,Saltamontes,Saltamontes - De Van Morrison a Simple Minds - 06/11/19,59:04,Blues y Jazz,1,0,Ayer,https://www.ivoox.com/saltamontes-de-van-morrison-a-simple-minds-audios-mp3_rf_44009873_1.html?autoplay=true
https://static-2.ivoox.com/audios/3/5/0/4/2401573034053_SM.jpg,Addictes al Blues,Addictes al Blues 85: El blues de Chicago segons Iggy Pop (05-11-2019),58:51,Blues y Jazz,1,0,Ayer,https://www.ivoox.com/addictes-al-blues-85-el-blues-chicago-audios-mp3_rf_43998824_1.html?autoplay=true
https://static-2.ivoox.com/canales/7/9/8/7/2131470817897_SM.jpg,Podcast de La Descoberta,La Descoberta 05-11-19,01:52:24,Blues y Jazz,0,0,1 day,https://www.ivoox.com/descoberta-05-11-19-audios-mp3_rf_43973951_1.html?autoplay=true
https://static-1.ivoox.com/audios/0/5/7/2/6381573082750_SM.jpg,Blues Hendrix,DEDE PRIEST · by Blues Hendrix,01:08:10,Blues y Jazz,1,1,Hoy,https://www.ivoox.com/dede-priest-by-blues-hendrix-audios-mp3_rf_44019608_1.html?autoplay=true
https://static-2.ivoox.com/canales/7/1/4/0/8021554710417_SM.jpg,Sofá sonoro,Sofá Sonoro: El exilio mágico de Caetano Veloso (13/10/19),33:47,Blues y Jazz,15,1,28 días,https://www.ivoox.com/sofa-sonoro-el-exilio-magico-caetano-veloso-audios-mp3_rf_42955809_1.html?autoplay=true
https://static-1.ivoox.com/audios/6/4/7/6/1121571076746_SM.jpg,El Faro del JAZZ,El faro del jazz - 1x09 - Jazznesis Parte 2,01:48:03,Blues y Jazz,10,4,24 días,https://www.ivoox.com/faro-del-jazz-1x09-jazznesis-audios-mp3_rf_43048389_1.html?autoplay=true
https://static-1.ivoox.com/canales/6/7/4/5/6291552535476_SM.jpg,Sólo jazz,Solo Jazz - La serena belleza de las baladas - 14/10/19,58:35,Blues y Jazz,8,0,24 días,https://www.ivoox.com/solo-jazz-la-serena-belleza-las-audios-mp3_rf_43039968_1.html?autoplay=true
https://static-1.ivoox.com/canales/0/5/2/2/9031552462250_SM.jpg,Toma Uno,Toma Uno - Proud to be and Okie - 13/10/19,58:47,Blues y Jazz,3,0,25 días,https://www.ivoox.com/toma-uno-proud-to-be-and-okie-audios-mp3_rf_43014189_1.html?autoplay=true
https://static-1.ivoox.com/audios/4/6/4/5/8141571575464_SM.jpg,Club de Jazz,Club de Jazz 20/10/2019 || En un sueño,01:13:06,Blues y Jazz,5,1,18 días,https://www.ivoox.com/club-jazz-20-10-2019-en-sueno-audios-mp3_rf_43288679_1.html?autoplay=true
https://static-1.ivoox.com/audios/0/1/3/6/641571076310_SM.jpg,Música para Gatos,Música para Gatos – Ep. 25 - Funk y otras fusiones. Cuando el sexo se convirtió en música.,01:00:56,Blues y Jazz,4,4,24 días,https://www.ivoox.com/musica-para-gatos-ep-25-funk-audios-mp3_rf_43048188_1.html?autoplay=true
https://static-1.ivoox.com/audios/2/3/0/8/6281572368032_SM.jpg,El Cantor de Jazz,El Cantor de Jazz 2019x11. Especial Festival de Jazz de Granada,01:14:24,Blues y Jazz,2,0,9 días,https://www.ivoox.com/cantor-jazz-2019x11-especial-festival-de-audios-mp3_rf_43658813_1.html?autoplay=true
https://static-1.ivoox.com/audios/0/1/5/1/7241572471510_SM.jpg,CDS RADIOSHOW,Capítulo 497 La última fiesta de Sheryl Crow,01:29:49,Blues y Jazz,3,0,8 días,https://www.ivoox.com/capitulo-497-la-ultima-fiesta-sheryl-crow-audios-mp3_rf_43757420_1.html?autoplay=true
https://static-2.ivoox.com/canales/9/3/4/6/5321508706439_SM.jpg,CALAIX DEJAZZTRE ,Programa #165 >> 22 OCT 2019,59:00,Blues y Jazz,2,0,16 días,https://www.ivoox.com/programa-165-gt-gt-22-oct-2019-audios-mp3_rf_43375417_1.html?autoplay=true
https://static-2.ivoox.com/audios/3/3/8/5/3031555865833_SM.jpg,El Rugido de mi Impala,ERDMI_Rugido 2.09_Eric Clapton,02:43:41,Blues y Jazz,35,14,6 meses,https://www.ivoox.com/erdmi-rugido-2-09-eric-clapton-audios-mp3_rf_34735590_1.html?autoplay=true
https://static-1.ivoox.com/audios/0/1/6/2/7351529352610_SM.jpg,Taberna de JAZZ,Taberna de JAZZ - 3x38 - Monk según Esbjorn Svensson Trio,01:00:55,Blues y Jazz,5,0,1 año,https://www.ivoox.com/taberna-jazz-3x38-monk-segun-audios-mp3_rf_26600292_1.html?autoplay=true
https://static-2.ivoox.com/audios/7/6/5/0/7501520270567_SM.jpg,Taberna de JAZZ,"Taberna de JAZZ - 3x24 - Antonio Gómez, Lights Camera Version !!",59:14,Blues y Jazz,8,0,1 año,https://www.ivoox.com/taberna-jazz-3x24-antonio-gomez-audios-mp3_rf_24222234_1.html?autoplay=true
https://static-1.ivoox.com/audios/8/7/2/6/1317736278_SM.jpg,Podcast Blues y Jazz,"2011-10-04 - Blues, Jazz y otras yerbas... 1 - Stevie Ray Vaughan - Inicios del mito del blues de Texas...1",49:03,Blues y Jazz,13,3,+1 año,https://www.ivoox.com/2011-10-04-blues-jazz-otras-yerbas-1-audios-mp3_rf_826265_1.html?autoplay=true
https://static-2.ivoox.com/audios/3/5/6/4/8391446454653_SM.jpg,TUS DISCOS FAVORITOS,"TUS DISCOS FAVORITOS (91) - Cream, 'Disraeli Gears' (ATCO, 1967) (25 10 2015)",33:04,Blues y Jazz,13,0,+1 año,https://www.ivoox.com/tus-discos-favoritos-91-cream-039-disraeli-gears-039-audios-mp3_rf_9158547_1.html?autoplay=true
https://static-1.ivoox.com/canales/2/0/0/8/6541562028002_SM.jpg,6x3 en R3,"6x3 - Band of Skulls, Wolfmother, Ben Harper - 21/07/16",01:03:23,Blues y Jazz,3,0,+1 año,https://www.ivoox.com/6x3-band-of-skulls-wolfmother-ben-harper-audios-mp3_rf_12287995_1.html?autoplay=true
https://static-2.ivoox.com/canales/5/2/4/4/5971470904425_SM.jpg,Cloud Jazz Smooth Jazz,Cloud Jazz Nº 1596 (Stevie Wonder Armónica),59:18,Blues y Jazz,19,0,8 meses,https://www.ivoox.com/cloud-jazz-n-1596-stevie-wonder-armonica-audios-mp3_rf_32720159_1.html?autoplay=true
https://static-1.ivoox.com/canales/2/0/0/8/6541562028002_SM.jpg,6x3 en R3,6x3 - The Rides - 01/09/16,01:02:31,Blues y Jazz,10,0,+1 año,https://www.ivoox.com/6x3-the-rides-01-09-16-audios-mp3_rf_12734421_1.html?autoplay=true
